Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
110,00:00:03.670,0.0,0.0,0.0,0.0
111,00:00:03.704,9.424857217030114,2.223520249221184,20.888317757009347,5.162733644859813
112,00:00:03.737,0.03093198338525441,0.06335669781931465,0.004283489096573208,0.025155763239875388
113,00:00:03.770,11.809592419522327,4.81183800623053,23.747118380062304,6.869820872274143
114,00:00:03.804,11.38744807892004,1.2437305295950156,23.981503115264797,8.93711059190031
115,00:00:03.837,12.28814901349948,2.0311915887850467,23.74088785046729,11.092367601246107
116,00:00:03.871,13.484319833852544,1.2548286604361372,24.096183800623052,15.101947040498443
117,00:00:03.904,15.430750259605398,0.9626168224299065,23.969042056074766,21.360591900311526
118,00:00:03.937,0.07840083073727934,0.041394080996884734,0.060630841121495326,0.13317757009345793
119,00:00:03.971,18.97797248182762,0.8716121495327103,23.906230529595014,32.15607476635514
120,00:00:04.004,27.176973001038423,0.7714174454828661,24.02204049844237,56.73746105919003
121,00:00:04.037,39.00996884735203,2.433839563862928,24.0541277258567,90.54193925233645
122,00:00:04.071,7.214628764278298,7.45035046728972,12.776635514018691,1.4169003115264798
123,00:00:04.104,1.2685617860851506,0.22028816199376947,1.598714953271028,1.986682242990654
124,00:00:04.137,0.00012980269989615786,0.00015576323987538941,0.00023364485981308412,0.0
125,00:00:04.171,1.303751298026999,0.20050623052959501,1.7049454828660435,2.0058021806853583
126,00:00:04.204,1.224792315680166,0.23407320872274143,1.5881230529595016,1.8521806853582554
127,00:00:04.238,1.1613966770508826,0.2285436137071651,1.618107476635514,1.6375389408099688
128,00:00:04.271,1.165641225337487,0.19805295950155763,1.6139408099688473,1.684929906542056
129,00:00:04.304,0.923779854620976,0.24104361370716512,1.273442367601246,1.256853582554517
130,00:00:04.338,0.0027128764278296987,0.002336448598130841,0.004750778816199377,0.0010514018691588785
131,00:00:04.371,0.9159527518172378,0.2042834890965732,1.325272585669782,1.2183021806853582
132,00:00:04.404,0.6384086188992731,0.17067757009345794,0.9536214953271028,0.7909267912772585
133,00:00:04.438,0.7298156801661474,0.17172897196261683,1.0612928348909658,0.9564252336448598
134,00:00:04.471,0.6024273104880581,0.18960280373831775,0.8602803738317757,0.757398753894081
135,00:00:04.505,0.4265186915887851,0.1507398753894081,0.6749610591900311,0.45385514018691586
136,00:00:04.538,0.011876947040498442,0.012889408099688474,0.019197819314641745,0.003543613707165109
137,00:00:04.571,0.4036863966770509,0.14365264797507787,0.543613707165109,0.5237928348909657
138,00:00:04.605,0.4197559709241952,0.1338785046728972,0.6183021806853582,0.5070872274143302
139,00:00:04.638,0.4080737279335411,0.14957165109034268,0.6151090342679127,0.4595404984423676
140,00:00:04.671,0.27729750778816203,0.11549844236760125,0.40607476635514017,0.31031931464174456
141,00:00:04.705,0.24116043613707164,0.10650311526479751,0.36031931464174455,0.2566588785046729
142,00:00:04.738,0.009566458982346834,0.007749221183800623,0.01705607476635514,0.003894080996884735
143,00:00:04.771,0.18875908618899273,0.08936915887850468,0.28251557632398755,0.19439252336448598
144,00:00:04.805,0.18581256490134992,0.12609034267912772,0.27355919003115264,0.15778816199376947
145,00:00:04.838,0.12815420560747662,0.09322429906542055,0.20965732087227415,0.0815809968847352
146,00:00:04.872,0.12389667705088266,0.08707165109034268,0.21440809968847352,0.07021028037383177
147,00:00:04.905,0.06436915887850468,0.057398753894080994,0.1265576323987539,0.009151090342679127
148,00:00:04.938,0.010890446521287643,0.015459501557632399,0.011838006230529595,0.005373831775700935
149,00:00:04.972,0.022468847352024923,0.020132398753894082,0.04727414330218069,0.0
150,00:00:05.005,0.0381619937694704,0.03426791277258567,0.08021806853582554,0.0
151,00:00:05.038,0.04574247144340602,0.03933021806853582,0.08886292834890966,0.009034267912772585
152,00:00:05.072,0.0657061266874351,0.0654595015576324,0.12554517133956386,0.006113707165109034
153,00:00:05.105,0.06522585669781931,0.06105919003115265,0.12725856697819315,0.007359813084112149
154,00:00:05.138,0.007840083073727933,0.0095404984423676,0.01339563862928349,0.0005841121495327102
155,00:00:05.172,0.03712357217030114,0.032554517133956386,0.07683021806853582,0.001985981308411215
156,00:00:05.205,0.05160955347871236,0.05420560747663551,0.10062305295950155,0.0
157,00:00:05.239,0.061617341640706126,0.058566978193146414,0.12488317757009346,0.0014018691588785046
158,00:00:05.272,0.05429646936656283,0.04443146417445483,0.11845794392523365,0.0
159,00:00:05.305,0.0689901349948079,0.06666666666666667,0.13968068535825545,0.0006230529595015577
160,00:00:05.339,0.005477673935617861,0.006503115264797508,0.009929906542056074,0.0
161,00:00:05.372,0.04273104880581516,0.033099688473520246,0.09108255451713396,0.004010903426791277
162,00:00:05.405,0.04099169262720665,0.03559190031152648,0.08738317757009346,0.0
163,00:00:05.439,0.044444444444444446,0.03929127725856698,0.09018691588785047,0.0038551401869158877
164,00:00:05.472,0.06588785046728972,0.053738317757009345,0.13267133956386293,0.011253894080996885
165,00:00:05.506,0.05506230529595016,0.05424454828660436,0.10817757009345795,0.002764797507788162
166,00:00:05.539,0.0095404984423676,0.009423676012461059,0.019197819314641745,0.0
167,00:00:05.572,0.041342159916926274,0.03785046728971963,0.08586448598130841,0.00031152647975077883
168,00:00:05.606,0.04842938733125649,0.04073208722741433,0.09517133956386292,0.009384735202492212
169,00:00:05.639,0.049896157840083076,0.04633956386292835,0.10054517133956387,0.002803738317757009
170,00:00:05.672,0.06065680166147456,0.048286604361370715,0.12733644859813084,0.006347352024922119
171,00:00:05.706,0.05055815160955348,0.04454828660436137,0.10552959501557632,0.0015965732087227414
172,00:00:05.739,0.010955347871235721,0.009073208722741434,0.02379283489096573,0.0
173,00:00:05.772,0.04047248182762202,0.03298286604361371,0.0876557632398754,0.000778816199376947
174,00:00:05.806,0.061305815160955346,0.060903426791277256,0.11635514018691588,0.006658878504672897
175,00:00:05.839,0.043328141225337485,0.03851246105919003,0.08777258566978192,0.0036993769470404984
176,00:00:05.873,0.03903167185877466,0.03551401869158879,0.08060747663551401,0.0009735202492211838
177,00:00:05.906,0.05865784008307373,0.05023364485981308,0.1244158878504673,0.00132398753894081
178,00:00:05.939,0.007671339563862928,0.011370716510903427,0.010669781931464175,0.0009735202492211838
179,00:00:05.973,0.039083592938733126,0.03633177570093458,0.07912772585669782,0.0017912772585669781
180,00:00:06.006,0.05703530633437176,0.053504672897196265,0.10646417445482866,0.011137071651090343
181,00:00:06.039,0.057165109034267914,0.05455607476635514,0.1118380062305296,0.005101246105919003
182,00:00:06.073,0.06340861889927311,0.06253894080996884,0.12593457943925235,0.0017523364485981308
183,00:00:06.106,0.04253634475597093,0.03644859813084112,0.09116043613707166,0.0
184,00:00:06.139,0.011072170301142263,0.01425233644859813,0.01896417445482866,0.0
185,00:00:06.173,0.03974558670820353,0.03578660436137072,0.08345015576323987,0.0
186,00:00:06.206,0.05687954309449637,0.04793613707165109,0.12180685358255451,0.0008956386292834891
187,00:00:06.240,0.04635254413291797,0.042328660436137075,0.09248442367601246,0.004244548286604362
188,00:00:06.273,0.05655503634475597,0.047468847352024925,0.11616043613707165,0.006035825545171339
189,00:00:06.306,0.037201453790238835,0.03088006230529595,0.08021806853582554,0.0005062305295950156
190,00:00:06.340,0.011046209761163031,0.01542056074766355,0.017718068535825544,0.0
191,00:00:06.373,0.046962616822429915,0.042328660436137075,0.09855919003115265,0.0
192,00:00:06.406,0.058735721703011425,0.05502336448598131,0.10759345794392523,0.013590342679127726
193,00:00:06.440,0.03531931464174455,0.026869158878504672,0.07908878504672898,0.0
194,00:00:06.473,0.06569314641744549,0.05050623052959501,0.1367601246105919,0.009813084112149532
195,00:00:06.507,0.03395638629283489,0.026752336448598132,0.07511682242990654,0.0
196,00:00:06.540,0.0029724818276220147,0.004400311526479751,0.004517133956386293,0.0
197,00:00:06.573,0.036383696780893045,0.03555295950155763,0.07336448598130842,0.00023364485981308412
198,00:00:06.607,0.051583592938733124,0.04388629283489096,0.10459501557632399,0.006269470404984424
199,00:00:06.640,0.057658359293873314,0.0507398753894081,0.12001557632398754,0.0022196261682242992
200,00:00:06.673,0.03956386292834891,0.03925233644859813,0.07289719626168224,0.0065420560747663555
201,00:00:06.707,0.04474299065420561,0.03781152647975078,0.09606697819314641,0.00035046728971962614
202,00:00:06.740,0.004322429906542056,0.004595015576323988,0.008177570093457943,0.00019470404984423675
203,00:00:06.773,0.03874610591900312,0.026830218068535826,0.08679906542056075,0.002609034267912773
204,00:00:06.807,0.03946002076843198,0.033411214953271026,0.08496884735202492,0.0
205,00:00:06.840,0.040394600207684324,0.03356697819314642,0.08391744548286605,0.0036993769470404984
206,00:00:06.874,0.06958722741433021,0.06277258566978193,0.14598909657320872,0.0
207,00:00:06.907,0.05843717549325026,0.05389408099688474,0.10549065420560748,0.015926791277258566
208,00:00:06.940,0.007814122533748703,0.005802180685358255,0.01764018691588785,0.0
209,00:00:06.974,0.03316458982346833,0.026518691588785046,0.0684190031152648,0.00455607476635514
210,00:00:07.007,0.07668743509865004,0.07293613707165109,0.15712616822429906,0.0
211,00:00:07.040,0.05543873312564901,0.04217289719626168,0.11884735202492212,0.00529595015576324
212,00:00:07.074,0.046664070612668744,0.041394080996884734,0.0985981308411215,0.0
213,00:00:07.107,0.056710799584631356,0.05506230529595016,0.11417445482866044,0.0008956386292834891
214,00:00:07.140,0.01108515057113188,0.009968847352024923,0.023286604361370717,0.0
215,00:00:07.174,0.0468717549325026,0.043769470404984426,0.09684579439252336,0.0
216,00:00:07.207,0.04323727933541018,0.03839563862928349,0.09131619937694704,0.0
217,00:00:07.241,0.05841121495327103,0.05179127725856698,0.11892523364485981,0.004517133956386293
218,00:00:07.274,0.061111111111111116,0.05440031152647975,0.12760903426791279,0.00132398753894081
219,00:00:07.307,0.049714434060228456,0.04466510903426791,0.10276479750778816,0.0017133956386292835
220,00:00:07.341,0.010280373831775701,0.008216510903426791,0.02262461059190031,0.0
221,00:00:07.374,0.04617082035306334,0.040225856697819314,0.09828660436137071,0.0
222,00:00:07.407,0.06012461059190031,0.058021806853582554,0.12235202492211839,0.0
223,00:00:07.441,0.04871495327102804,0.04789719626168224,0.09824766355140187,0.0
224,00:00:07.474,0.04177050882658359,0.040225856697819314,0.08508566978193147,0.0
225,00:00:07.508,0.06991173416407061,0.06635514018691589,0.14338006230529596,0.0
226,00:00:07.541,0.007333852544132918,0.009034267912772585,0.012967289719626168,0.0
227,00:00:07.574,0.02607736240913811,0.027725856697819316,0.05050623052959501,0.0
228,00:00:07.608,0.04338006230529595,0.042328660436137075,0.08781152647975078,0.0
229,00:00:07.641,0.03451453790238837,0.03088006230529595,0.07200155763239875,0.000661993769470405
230,00:00:07.674,0.06539460020768433,0.06853582554517133,0.12764797507788161,0.0
231,00:00:07.708,0.5577232606438214,0.19462616822429907,0.6676791277258567,0.8108644859813084
232,00:00:07.741,0.010955347871235721,0.013161993769470404,0.01970404984423676,0.0
233,00:00:07.774,0.8617860851505711,0.22293613707165108,1.0677570093457944,1.294665109034268
234,00:00:07.808,1.8574896157840086,0.4286214953271028,2.0848909657320873,3.058956386292835
235,00:00:07.841,2.2449376947040496,0.5276869158878504,2.7931853582554518,3.4139408099688473
236,00:00:07.875,2.4049714434060228,0.506619937694704,3.042834890965732,3.6654595015576326
237,00:00:07.908,2.438343717549325,0.6106697819314642,3.165031152647975,3.5393302180685358
238,00:00:07.941,0.026181204569055035,0.026674454828660436,0.033683800623052956,0.018185358255451714
239,00:00:07.975,2.3938213914849427,0.6383177570093458,3.0792834890965732,3.4638629283489095
240,00:00:08.008,2.443886292834891,0.686993769470405,2.9929517133956387,3.6517133956386294
241,00:00:08.041,2.1263629283489096,0.6118380062305296,2.630568535825545,3.1366822429906542
242,00:00:08.075,1.7751557632398753,0.5521806853582555,2.195482866043614,2.577803738317757
243,00:00:08.108,1.5910176531671858,0.4738707165109034,1.9507009345794393,2.348481308411215
244,00:00:08.141,0.050389408099688476,0.027180685358255453,0.05478971962616822,0.06919781931464175
245,00:00:08.175,1.3429257528556595,0.40120716510903426,1.713006230529595,1.914563862928349
246,00:00:08.208,1.2269080996884736,0.3988317757009346,1.482165109034268,1.799727414330218
247,00:00:08.242,1.141926272066459,0.4268302180685358,1.3262071651090344,1.672741433021807
248,00:00:08.275,1.1666796469366563,0.44205607476635517,1.3164719626168224,1.7415109034267913
249,00:00:08.308,0.6984553478712358,0.2792445482866044,0.8157320872274143,1.0003894080996885
250,00:00:08.342,0.03744807892004154,0.02694704049844237,0.05241433021806854,0.03298286604361371
251,00:00:08.375,0.6411734164070614,0.2624221183800623,0.805373831775701,0.8557242990654206
252,00:00:08.408,0.6065939771547249,0.29914330218068536,0.7232476635514019,0.7973909657320872
